start_date,end_date
2005-08-08,2005-08-19
2006-06-24,2006-06-28
2007-06-18,2007-06-22
2009-06-29,2009-07-03
2010-06-28,2010-07-02
2011-08-15,2011-08-19
2012-08-20,2012-08-24
2013-08-19,2013-08-23
2014-07-14,2014-07-18
2015-07-13,2015-07-17
2016-08-22,2016-08-26
2017-07-17,2017-07-21
2018-08-20,2018-08-24
2019-07-15,2019-07-19
2020-08-24,2020-08-28
2021-07-19,2021-07-23
2022-07-25,2022-07-29
2023-06-19,2023-06-23
2024-06-17,2024-06-21
2025-07-21,2025-07-25
2026-07-06,2026-07-11
2025-01-06,2025-01-10
2024-06-03,2024-06-07
2023-07-24,2023-07-29
2022-07-18,2022-07-22
2021-06-21,2021-07-02
2020-06-29,2020-07-03
2019-07-09,2019-07-13
2018-06-25,2018-06-29
2017-06-26,2017-06-30
2016-08-01,2016-08-05
2015-06-22,2015-06-26
2014-06-23,2014-06-27
2013-06-24,2013-06-29
2012-07-23,2012-07-28
2011-06-27,2011-07-02
2010-03-15,2010-03-19
2009-06-22,2009-06-26
2008-08-18,2008-08-23
2007-06-25,2007-06-29
2006-06-19,2006-06-24
2005-07-11,2005-07-16
2025-06-16,2025-06-20
2024-06-10,2024-06-14
2023-08-07,2023-08-13
2022-08-08,2022-08-12
2021-08-16,2021-08-20
2020-05-11,2020-05-15
2019-07-01,2019-07-05
2018-06-18,2018-06-22
2017-07-10,2017-07-14
2016-07-04,2016-07-08
2015-07-06,2015-07-10
2014-06-10,2014-06-13
2013-04-28,2013-05-03
2012-03-05,2012-03-09
2011-11-10,2011-11-13
2010-05-04,2010-05-07
2009-03-30,2009-04-03
